area_name,area_code,date,new_cases,total_cases
Barking and Dagenham,E09000002,11/02/2020,0,0
Barnet,E09000003,11/02/2020,0,0
Bexley,E09000004,11/02/2020,0,0
Brent,E09000005,11/02/2020,0,0
Bromley,E09000006,11/02/2020,0,0
Camden,E09000007,11/02/2020,0,0
Croydon,E09000008,11/02/2020,0,0
Ealing,E09000009,11/02/2020,0,0
Enfield,E09000010,11/02/2020,0,0
Greenwich,E09000011,11/02/2020,0,0
Hackney and City of London,E09000012,11/02/2020,0,0
Hammersmith and Fulham,E09000013,11/02/2020,0,0
Haringey,E09000014,11/02/2020,0,0
Harrow,E09000015,11/02/2020,0,0
Havering,E09000016,11/02/2020,0,0
Hillingdon,E09000017,11/02/2020,0,0
Hounslow,E09000018,11/02/2020,0,0
Islington,E09000019,11/02/2020,0,0
Kensington and Chelsea,E09000020,11/02/2020,0,0
Kingston upon Thames,E09000021,11/02/2020,0,0
Lambeth,E09000022,11/02/2020,0,0
Lewisham,E09000023,11/02/2020,1,1
Merton,E09000024,11/02/2020,0,0
Newham,E09000025,11/02/2020,0,0
Redbridge,E09000026,11/02/2020,0,0
Richmond upon Thames,E09000027,11/02/2020,0,0
Southwark,E09000028,11/02/2020,0,0
Sutton,E09000029,11/02/2020,0,0
Tower Hamlets,E09000030,11/02/2020,0,0
Waltham Forest,E09000031,11/02/2020,0,0
Wandsworth,E09000032,11/02/2020,0,0
Westminster,E09000033,11/02/2020,0,0
Barking and Dagenham,E09000002,12/02/2020,0,0
Barnet,E09000003,12/02/2020,0,0
Bexley,E09000004,12/02/2020,0,0
Brent,E09000005,12/02/2020,0,0
Bromley,E09000006,12/02/2020,0,0
Camden,E09000007,12/02/2020,0,0
Croydon,E09000008,12/02/2020,0,0
Ealing,E09000009,12/02/2020,0,0
Enfield,E09000010,12/02/2020,0,0
Greenwich,E09000011,12/02/2020,0,0
Hackney and City of London,E09000012,12/02/2020,0,0
Hammersmith and Fulham,E09000013,12/02/2020,0,0
Haringey,E09000014,12/02/2020,0,0
Harrow,E09000015,12/02/2020,0,0
Havering,E09000016,12/02/2020,0,0
Hillingdon,E09000017,12/02/2020,0,0
Hounslow,E09000018,12/02/2020,0,0
Islington,E09000019,12/02/2020,0,0
Kensington and Chelsea,E09000020,12/02/2020,0,0
Kingston upon Thames,E09000021,12/02/2020,0,0
Lambeth,E09000022,12/02/2020,0,0
Lewisham,E09000023,12/02/2020,0,1
Merton,E09000024,12/02/2020,0,0
Newham,E09000025,12/02/2020,0,0
Redbridge,E09000026,12/02/2020,0,0
Richmond upon Thames,E09000027,12/02/2020,0,0
Southwark,E09000028,12/02/2020,0,0
Sutton,E09000029,12/02/2020,0,0
